Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HM-ALL;0001056422;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21840;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056425;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21740;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056426;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21655;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056428;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21822;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056430;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21648;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056436;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21626;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056437;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21799;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056438;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21550;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056442;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21770;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056448;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21688;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056458;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21577;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056460;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21651;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056465;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21710;;7/22/2018;Light Regular;CRFH;;;;1.9166
